Sno,CusID,Date,Dairy Product Consumed,Category,Buying Frequency,Online Buying Preference,Expected Delivery Time,Preferred Time Slot,Discount Expectations,Preferred Billing Type,Buying Farm Fresh Fruits Online
21,C4,1/15/2000,Pelawatter Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,8,24,6 AM to 12 Noon,Yes,Instant,Yes
22,C10,1/17/2000,Pelawatte Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,10,24,6 AM to 12 Noon,Maybe,Instant,Yes
23,C5,1/17/2000,Anchor Strawberry Yoghurt,Yoghurt,Once Every 2-3 days,3,24,6 PM to 11 PM,Maybe,Instant,Yes
24,C10,1/18/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,3,6,6 AM to 12 Noon,Yes,Prepaid,Yes
25,C4,1/18/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,10,12,Anytime would do,Yes,"Postpaid, Instant",Yes
26,C9,1/18/2000,Anchor Butter,Butter,Once Every 2-3 days,10,12,6 AM to 12 Noon,Yes,"Postpaid, Instant",Maybe
27,C4,1/19/2000,Highland Vanilla Flavoured Milk,ColdVannilaMilk,Once Every 2-3 days,8,12,6 AM to 12 Noon,Yes,Instant,Yes
28,C8,1/22/2000,Anchor Cheese,Cheese,Once Every 2-3 days,3,12,6 AM to 12 Noon,Yes,Instant,Yes
29,C10,1/23/2000,Pelawatte Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,3,12,6 AM to 12 Noon,Yes,Prepaid,Yes
30,C9,1/23/2000,Highland Non-Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,4,6,6 PM to 11 PM,Yes,Instant,Yes
31,C5,1/23/2000,Elephant House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,7,6,6 AM to 12 Noon,No,Instant,Yes
32,C10,1/24/2000,Anchor Cheese,Cheese,Once Every 2-3 days,7,24,6 AM to 12 Noon,Yes,Prepaid,Maybe
33,C9,1/25/2000,Highland Non-Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,1,24,6 AM to 12 Noon,No,Instant,Yes
34,C5,1/26/2000,Ambewela Cheese,Cheese,Once Every 2-3 days,6,12,6 AM to 12 Noon,Yes,Instant,Yes
35,C8,1/26/2000,Milo,HotChocolateMilk,Once Every 2-3 days,4,12,6 PM to 11 PM,Yes,Instant,Maybe
36,C8,1/27/2000,Highland Non-Fat Milk Powder,NonFatMilkPowder,Once a day,8,6,6 AM to 12 Noon,Yes,"Postpaid, Instant",Yes
37,C1,1/27/2000,Pelawatter Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,6,24,Anytime would do,No,"Postpaid, Instant",Yes
38,C9,1/27/2000,Ambewela Chocolate Flavoured Milk,HotChocolateMilk,Once Every 2-3 days,2,12,6 AM to 12 Noon,Maybe,Instant,Yes
39,C4,1/27/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,1,12,6 AM to 12 Noon,No,Instant,Maybe
40,C8,1/28/2000,Ambewela Chocolate Flavoured Milk,ColdChocolateMilk,Once Every 2-3 days,7,24,6 AM to 12 Noon,Yes,Instant,Yes
41,C3,1/28/2000,Elephant House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,5,24,6 AM to 12 Noon,Maybe,Instant,Yes
42,C10,1/28/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,7,12,6 PM to 11 PM,Yes,Instant,Yes
43,C7,1/29/2000,Ambewela Chocolate Flavoured Milk,HotChocolateMilk,Once Every 2-3 days,8,6,6 PM to 11 PM,Yes,Instant,Yes
44,C8,1/29/2000,Highland House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,4,6,6 PM to 11 PM,Yes,Instant,Yes
45,C7,1/29/2000,Anchor Strawberry Yoghurt,Yoghurt,Once Every 2-3 days,10,12,6 AM to 12 Noon,Yes,Any would do,Yes
46,C3,1/30/2000,Highland Non-Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,1,24,6 AM to 12 Noon,No,Any would do,Maybe
47,C4,1/31/2000,Anchor Cheese,Cheese,Once Every 2-3 days,5,6,6 AM to 12 Noon,No,Any would do,Yes
48,C6,2/1/2000,Highland Cheese Spread,Cheese,Once Every 2-3 days,5,6,6 AM to 12 Noon,Yes,Instant,Yes
49,C9,2/1/2000,Ambewela Chocolate Flavoured Milk,ColdChocolateMilk,Once Every 2-3 days,8,12,6 AM to 12 Noon,Yes,Any would do,Yes
50,C6,2/1/2000,Ambewela Chocolate Flavoured Milk,ColdChocolateMilk,Once Every 2-3 days,3,24,6 PM to 11 PM,Maybe,Instant,Yes
51,C3,2/3/2000,Anchor Low Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,9,24,6 AM to 12 Noon,No,Instant,Yes
52,C1,2/3/2000,Highland House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,10,12,6 AM to 12 Noon,Maybe,Instant,Maybe
53,C2,2/4/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,3,6,6 AM to 12 Noon,No,Instant,Yes
54,C8,2/4/2000,Highland Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,10,24,6 AM to 12 Noon,Yes,Any would do,Yes
55,C3,2/5/2000,Elephant House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,3,12,Anytime would do,No,Any would do,Yes
56,C6,2/8/2000,Highland Butter,Butter,Once Every 2-3 days,8,24,6 AM to 12 Noon,No,Instant,Maybe
57,C7,2/9/2000,Anchor Strawberry Yoghurt,Yoghurt,Once Every 2-3 days,8,6,6 PM to 11 PM,No,Instant,Maybe
58,C10,2/9/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,6,24,Anytime would do,Yes,Instant,Yes
59,C6,2/9/2000,Pelawatte Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,8,24,6 AM to 12 Noon,Yes,Instant,Maybe
60,C9,2/9/2000,Highland Butter,Butter,Once Every 2-3 days,2,24,6 AM to 12 Noon,Maybe,Instant,Yes
61,C2,2/10/2000,Anchor Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,6,6,6 PM to 11 PM,Maybe,Instant,Yes
62,C8,2/10/2000,Anchor Strawberry Yoghurt,Yoghurt,Once Every 2-3 days,8,12,6 PM to 11 PM,No,Instant,Maybe
63,C6,2/10/2000,Highland House Cocolate Ice Cream,Ice Cream,Once Every 2-3 days,1,12,6 PM to 11 PM,Yes,Any would do,Yes
64,C4,2/11/2000,Anchor Strawberry Yoghurt,Yoghurt,Once Every 2-3 days,6,6,6 AM to 12 Noon,Yes,Prepaid,Yes
65,C10,2/11/2000,Ambewela Vanilla Flavoured Milk,ColdVannilaMilk,Once Every 2-3 days,1,12,6 PM to 11 PM,Yes,"Postpaid, Instant",Yes
66,C6,2/11/2000,Pelawatte Non-Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,1,24,6 PM to 11 PM,Yes,Prepaid,Yes
67,C4,2/12/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,7,6,Anytime would do,Yes,Instant,Yes
68,C5,2/13/2000,Highland Chocolate Flavoured Milk,HotChocolateMilk,Once Every 2-3 days,6,12,6 AM to 12 Noon,Maybe,Instant,Maybe
69,C9,2/15/2000,Pelawatte Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,6,12,Anytime would do,Yes,Any would do,Yes
70,C5,2/15/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,5,12,6 AM to 12 Noon,Maybe,Prepaid,Yes
71,C3,2/15/2000,Highland Vanilla Flavoured Milk,ColdVannilaMilk,Once Every 2-3 days,2,24,6 AM to 12 Noon,Yes,Instant,Yes
72,C4,2/15/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,3,24,6 AM to 12 Noon,Yes,Instant,Yes
73,C8,2/16/2000,Anchor Low Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,2,6,6 PM to 11 PM,Maybe,Prepaid,Yes
74,C8,2/17/2000,Ambewela Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,9,12,6 PM to 11 PM,Maybe,Instant,Yes
75,C3,2/20/2000,Anchor Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,5,6,6 AM to 12 Noon,Yes,Instant,Yes
76,C3,2/22/2000,Anchor Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,9,24,6 AM to 12 Noon,Yes,Instant,Yes
77,C4,2/24/2000,Pelawatter Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,5,12,6 PM to 11 PM,Maybe,Instant,Yes
78,C10,2/24/2000,Highland Vanilla Flavoured Milk,ColdVannilaMilk,Once Every 2-3 days,9,6,6 PM to 11 PM,Yes,Instant,Yes
79,C3,2/28/2000,Highland House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,7,6,6 AM to 12 Noon,Maybe,Any would do,Yes
80,C4,3/2/2000,Pelawatter Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,1,12,6 PM to 11 PM,Yes,Any would do,Yes
81,C5,3/2/2000,Anchor Cheese,Cheese,Once Every 2-3 days,5,6,6 AM to 12 Noon,Maybe,Instant,Maybe
82,C2,3/2/2000,Anchor Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,8,24,6 AM to 12 Noon,Yes,Prepaid,Maybe
83,C10,3/2/2000,Highland Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,5,12,Anytime would do,Yes,Instant,Yes
84,C8,3/2/2000,Pelawatte Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,3,6,6 AM to 12 Noon,Yes,Any would do,Yes
85,C8,3/5/2000,Highland Chocolate Flavoured Milk,ColdChocolateMilk,Once Every 2-3 days,3,12,6 AM to 12 Noon,Maybe,Instant,Yes
86,C5,3/5/2000,Anchor Butter,Butter,Once Every 2-3 days,1,24,6 PM to 11 PM,Maybe,Instant,Yes
87,C2,3/5/2000,Highland House Cocolate Ice Cream,Ice Cream,Once Every 2-3 days,9,12,6 AM to 12 Noon,Yes,Instant,Yes
88,C6,3/6/2000,Highland Processed Cheese,Cheese,Once Every 2-3 days,10,24,6 AM to 12 Noon,Maybe,Instant,Yes
89,C1,3/6/2000,Highland House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,1,12,6 AM to 12 Noon,Yes,Instant,Yes
90,C8,3/7/2000,Highland Cheese Spread,Cheese,Once Every 2-3 days,1,12,6 PM to 11 PM,Maybe,Instant,Yes
91,C2,3/8/2000,Anchor Cheese,Cheese,Once Every 2-3 days,1,12,6 AM to 12 Noon,Maybe,Any would do,Maybe
92,C8,3/8/2000,Pelawatte Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,4,6,6 AM to 12 Noon,Yes,Instant,Yes
93,C9,3/10/2000,Anchor Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,7,6,6 AM to 12 Noon,Maybe,Instant,Maybe
94,C6,3/10/2000,Highland Chocolate Flavoured Milk,ColdChocolateMilk,Once Every 2-3 days,3,24,6 PM to 11 PM,Yes,Instant,Yes
95,C7,3/11/2000,Anchor Low Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,7,24,6 AM to 12 Noon,Yes,Prepaid,Yes
96,C7,3/12/2000,Anchor Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,8,24,Anytime would do,Maybe,Any would do,Yes
97,C6,3/12/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,8,6,6 AM to 12 Noon,Yes,Instant,Yes
98,C6,3/12/2000,Highland Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,7,6,Anytime would do,No,Instant,Maybe
99,C6,3/12/2000,Highland Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,3,12,6 AM to 12 Noon,Yes,"Postpaid, Instant",Yes
100,C8,3/13/2000,Highland Non-Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,10,24,Anytime would do,Yes,Instant,Yes
101,C7,3/13/2000,Highland Butter,Butter,Once Every 2-3 days,10,6,6 AM to 12 Noon,Yes,Instant,Yes
102,C4,3/14/2000,Highland Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,7,24,6 PM to 11 PM,Yes,Instant,Yes
103,C3,3/15/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Twice a day,6,12,6 AM to 12 Noon,Yes,Instant,Yes
104,C8,3/15/2000,Highland Vanilla Flavoured Milk,ColdVannilaMilk,Once Every 2-3 days,6,6,6 AM to 12 Noon,Maybe,Any would do,Yes
105,C2,3/15/2000,Elephant House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,8,24,6 AM to 12 Noon,Yes,Instant,Yes
106,C4,3/16/2000,Anchor Cheese,Cheese,Once Every 2-3 days,7,6,6 PM to 11 PM,Yes,Instant,Yes
107,C7,3/16/2000,Highland House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,4,6,6 AM to 12 Noon,No,Instant,Yes
108,C5,3/17/2000,Highland Processed Cheese,Cheese,Once Every 2-3 days,2,24,6 AM to 12 Noon,Yes,Any would do,Maybe
109,C8,3/18/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,4,6,6 AM to 12 Noon,Yes,Any would do,Yes
110,C4,3/19/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,9,12,Anytime would do,Yes,Prepaid,Maybe
111,C10,3/19/2000,Milo,HotChocolateMilk,Once Every 2-3 days,10,6,6 AM to 12 Noon,Yes,Instant,Yes
112,C9,3/20/2000,Highland House Cocolate Ice Cream,Ice Cream,Once Every 2-3 days,7,12,6 AM to 12 Noon,Yes,"Postpaid, Instant",Yes
113,C5,3/20/2000,Anchor Cheese,Cheese,Once Every 2-3 days,9,6,6 AM to 12 Noon,Yes,Any would do,Maybe
114,C3,3/20/2000,Highland Chocolate Flavoured Milk,ColdChocolateMilk,Once Every 2-3 days,6,12,6 AM to 12 Noon,Yes,Instant,Yes
115,C1,3/21/2000,Milo,HotChocolateMilk,Once Every 2-3 days,8,6,6 AM to 12 Noon,Yes,Instant,Yes
116,C8,3/22/2000,Milo,ColdChocolateMilk,Once Every 2-3 days,2,24,6 AM to 12 Noon,No,Instant,Maybe
117,C1,3/23/2000,Highland Cheese Spread,Cheese,Once Every 2-3 days,4,6,6 AM to 12 Noon,Yes,Any would do,Yes
118,C3,3/26/2000,Highland Non-Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,5,6,6 AM to 12 Noon,Maybe,Instant,Maybe
119,C7,3/27/2000,Highland Vanilla Flavoured Milk,ColdVannilaMilk,Once Every 2-3 days,5,6,6 AM to 12 Noon,Yes,Prepaid,Maybe
120,C2,3/27/2000,Highland House Cocolate Ice Cream,Ice Cream,Once Every 2-3 days,1,12,6 AM to 12 Noon,Yes,Instant,Maybe
121,C10,3/28/2000,Highland Butter,Butter,Once Every 2-3 days,10,6,6 AM to 12 Noon,Maybe,Prepaid,Maybe
122,C9,3/30/2000,Highland Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,1,12,6 AM to 12 Noon,No,Instant,Maybe
123,C3,3/31/2000,Highland Butter,Butter,Once Every 2-3 days,6,12,6 PM to 11 PM,Yes,Prepaid,Yes
124,C7,3/31/2000,Highland Cheese Spread,Cheese,Once Every 2-3 days,2,6,6 AM to 12 Noon,Yes,Prepaid,Maybe
125,C1,4/1/2000,Pelawatte Non-Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,5,24,Anytime would do,Yes,Prepaid,Yes
126,C5,4/2/2000,Pelawatte Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,8,24,6 AM to 12 Noon,Yes,"Postpaid, Instant",Yes
127,C7,4/2/2000,Highland Vanilla Flavoured Milk,ColdVannilaMilk,Once Every 2-3 days,1,24,6 AM to 12 Noon,Maybe,Any would do,Yes
128,C8,4/3/2000,Ambewela Vanilla Flavoured Milk,ColdVannilaMilk,Once Every 2-3 days,9,6,6 PM to 11 PM,Yes,Instant,Maybe
129,C2,4/6/2000,Pelawatter Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,8,6,6 PM to 11 PM,No,"Postpaid, Instant",Yes
130,C7,4/6/2000,Ambewela Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,5,12,6 PM to 11 PM,Yes,"Postpaid, Instant",Maybe
131,C7,4/6/2000,Anchor Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,5,24,6 AM to 12 Noon,No,Instant,Maybe
132,C8,4/7/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,8,24,6 AM to 12 Noon,Yes,Any would do,Maybe
133,C1,4/7/2000,Anchor Butter,Butter,Once Every 2-3 days,7,6,6 AM to 12 Noon,Yes,Instant,Yes
134,C5,4/8/2000,Highland Cheese Spread,Cheese,Once Every 2-3 days,8,6,6 AM to 12 Noon,Yes,Prepaid,Yes
135,C3,4/9/2000,Anchor Strawberry Yoghurt,Yoghurt,Once Every 2-3 days,2,12,6 AM to 12 Noon,Yes,Instant,Yes
136,C6,4/9/2000,Highland Non-Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,8,12,Anytime would do,No,Any would do,Yes
137,C1,4/10/2000,Anchor Butter,Butter,Once Every 2-3 days,5,6,6 PM to 11 PM,Maybe,Any would do,Maybe
138,C2,4/13/2000,Highland Non-Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,3,12,6 AM to 12 Noon,Yes,Instant,Maybe
139,C4,4/13/2000,Highland House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,9,24,6 AM to 12 Noon,Yes,Any would do,Yes
140,C6,4/14/2000,Highland Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,1,6,6 PM to 11 PM,Yes,"Postpaid, Instant",Yes
141,C1,4/15/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,9,12,6 PM to 11 PM,Maybe,Instant,Yes
142,C6,4/17/2000,Highland House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,8,24,6 AM to 12 Noon,Yes,Instant,Maybe
143,C4,4/17/2000,Milo,HotChocolateMilk,Once Every 2-3 days,8,12,6 AM to 12 Noon,No,Instant,Yes
144,C6,4/17/2000,Highland Butter,Butter,Once Every 2-3 days,7,6,Anytime would do,Yes,Instant,Yes
145,C1,4/18/2000,Highland Processed Cheese,Cheese,Once Every 2-3 days,5,6,6 AM to 12 Noon,Yes,Instant,Yes
146,C3,4/19/2000,Highland Processed Cheese,Cheese,Once Every 2-3 days,2,6,6 AM to 12 Noon,Yes,Prepaid,Yes
147,C4,4/19/2000,Highland Cheese Spread,Cheese,Once Every 2-3 days,5,6,Anytime would do,No,Instant,Yes
148,C2,4/20/2000,Ambewela Chocolate Flavoured Milk,HotChocolateMilk,Once Every 2-3 days,4,6,6 AM to 12 Noon,Yes,Instant,Maybe
149,C4,4/21/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,9,6,6 AM to 12 Noon,Yes,Any would do,Yes
150,C6,4/22/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,1,12,6 PM to 11 PM,Yes,Instant,Yes
151,C10,4/22/2000,Highland House Cocolate Ice Cream,Ice Cream,Once Every 2-3 days,1,6,Anytime would do,Maybe,Any would do,Maybe
152,C10,4/23/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,9,12,6 AM to 12 Noon,Yes,Prepaid,Yes
153,C1,4/23/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,10,24,Anytime would do,Yes,Instant,Maybe
154,C4,4/24/2000,Highland Cheese Spread,Cheese,Once Every 2-3 days,2,24,Anytime would do,Yes,Instant,Yes
155,C1,4/26/2000,Anchor Low Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,8,12,6 PM to 11 PM,Maybe,"Postpaid, Instant",Maybe
156,C4,4/26/2000,Highland Butter,Butter,Once Every 2-3 days,8,12,6 AM to 12 Noon,No,Instant,Yes
157,C2,4/26/2000,Anchor Strawberry Yoghurt,Yoghurt,Once Every 2-3 days,1,24,6 AM to 12 Noon,Yes,Instant,Maybe
158,C8,4/26/2000,Ambewela Cheese,Cheese,Once Every 2-3 days,8,6,6 AM to 12 Noon,No,Instant,Maybe
159,C7,4/28/2000,Highland Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,6,6,6 AM to 12 Noon,Maybe,"Postpaid, Instant",Yes
160,C8,4/28/2000,Highland Butter,Butter,Once Every 2-3 days,6,12,6 AM to 12 Noon,No,Instant,Yes
161,C10,4/28/2000,Highland Processed Cheese,Cheese,Once Every 2-3 days,2,6,6 AM to 12 Noon,Yes,Instant,Yes
162,C4,4/30/2000,Milo,HotChocolateMilk,Once Every 2-3 days,4,6,6 AM to 12 Noon,Yes,Any would do,Yes
163,C8,5/1/2000,Highland Chocolate Flavoured Milk,HotChocolateMilk,Once Every 2-3 days,6,12,6 AM to 12 Noon,Yes,Instant,Yes
164,C8,5/1/2000,Highland House Cocolate Ice Cream,Ice Cream,Once Every 2-3 days,2,6,6 AM to 12 Noon,Maybe,Any would do,Maybe
165,C9,5/3/2000,Highland Processed Cheese,Cheese,Once Every 2-3 days,9,24,6 PM to 11 PM,Maybe,"Postpaid, Instant",Yes
166,C3,5/4/2000,Highland Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,3,6,6 AM to 12 Noon,Yes,Any would do,Maybe
167,C5,5/4/2000,Pelawatte Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,7,12,6 AM to 12 Noon,Yes,Any would do,Yes
168,C7,5/6/2000,Highland Non-Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,2,12,Anytime would do,Yes,"Postpaid, Instant",Maybe
169,C6,5/6/2000,Anchor Cheese,Cheese,Once Every 2-3 days,7,24,6 AM to 12 Noon,Yes,Any would do,Maybe
170,C4,5/6/2000,Highland Processed Cheese,Cheese,Once Every 2-3 days,5,24,Anytime would do,Maybe,Prepaid,Yes
171,C3,5/6/2000,Anchor Cheese,Cheese,Once Every 2-3 days,5,24,6 AM to 12 Noon,Yes,Instant,Maybe
172,C2,5/6/2000,Highland Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,3,6,6 PM to 11 PM,No,Instant,Yes
173,C9,5/7/2000,Highland Chocolate Flavoured Milk,HotChocolateMilk,Once Every 2-3 days,8,24,6 AM to 12 Noon,Maybe,Prepaid,Maybe
174,C5,5/9/2000,Highland Non-Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,3,6,6 PM to 11 PM,No,"Postpaid, Instant",Yes
175,C3,5/9/2000,Highland Chocolate Flavoured Milk,HotChocolateMilk,Once Every 2-3 days,7,24,Anytime would do,Maybe,Any would do,Maybe
176,C6,5/10/2000,Ambewela Vanilla Flavoured Milk,ColdVannilaMilk,Once Every 2-3 days,6,24,6 PM to 11 PM,Yes,Any would do,Maybe
177,C4,5/10/2000,Ambewela Cheese,Cheese,Once Every 2-3 days,3,24,6 AM to 12 Noon,Yes,Prepaid,Yes
178,C8,5/10/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,1,24,6 AM to 12 Noon,Yes,Any would do,Maybe
179,C6,5/10/2000,Pelawatte Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,5,12,6 AM to 12 Noon,Yes,Prepaid,Yes
180,C6,5/11/2000,Highland Processed Cheese,Cheese,Once Every 2-3 days,2,24,6 PM to 11 PM,Yes,Instant,Yes
181,C5,5/11/2000,Highland Butter,Butter,Once Every 2-3 days,10,12,6 AM to 12 Noon,Yes,Any would do,Yes
182,C5,5/11/2000,Anchor Low Fat Milk Powder,NonFatMilkPowder,Once Every 2-3 days,1,6,6 AM to 12 Noon,Yes,Instant,Yes
183,C10,5/14/2000,Anchor Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,4,6,6 AM to 12 Noon,Yes,Any would do,Maybe
184,C3,5/14/2000,Anchor Strawberry Yoghurt,Yoghurt,Once Every 2-3 days,9,12,6 AM to 12 Noon,Maybe,Any would do,Maybe
185,C7,5/14/2000,Ambewela Vanilla Flavoured Milk,HotVannilaMilk,Once Every 2-3 days,1,6,6 PM to 11 PM,No,Prepaid,Yes
186,C5,5/15/2000,Highland Cheese Spread,Cheese,Once Every 2-3 days,1,24,6 AM to 12 Noon,No,Instant,Maybe
187,C7,5/16/2000,Highland House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,6,12,6 AM to 12 Noon,Yes,Any would do,Yes
